LeadTimeCategory_Name,LeadTimeCategory_Code
M1-PROD-EXO-EDC-ETECH-ALL,M1-PROD-EXO-EDC-ETECH-ALL
M1-PROD-EXO-EDC-NTECH-ALL,M1-PROD-EXO-EDC-NTECH-ALL
M1-PROD-EXO-NDC-ETECH-APAC,M1-PROD-EXO-NDC-ETECH-APAC
M1-PROD-EXO-NDC-ETECH-EMEA,M1-PROD-EXO-NDC-ETECH-EMEA
M1-PROD-EXO-NDC-ETECH-LATAM,M1-PROD-EXO-NDC-ETECH-LATAM
M1-PROD-EXO-NDC-ETECH-NA,M1-PROD-EXO-NDC-ETECH-NA
M1-PROD-EXO-NDC-NTECH-APAC,M1-PROD-EXO-NDC-NTECH-APAC
M1-PROD-EXO-NDC-NTECH-EMEA,M1-PROD-EXO-NDC-NTECH-EMEA
M1-PROD-EXO-NDC-NTECH-LATAM,M1-PROD-EXO-NDC-NTECH-LATAM
M1-PROD-EXO-NDC-NTECH-NA,M1-PROD-EXO-NDC-NTECH-NA
M3-PROD-EREG-EDC-ETECH-COMPUTE,M3-PROD-EREG-EDC-ETECH-COMPUTE
M3-PROD-EREG-EDC-ETECH-HPC,M3-PROD-EREG-EDC-ETECH-HPC
M3-PROD-EREG-EDC-ETECH-SQL,M3-PROD-EREG-EDC-ETECH-SQL
M3-PROD-EREG-EDC-ETECH-Storage,M3-PROD-EREG-EDC-ETECH-Storage
M3-PROD-EREG-EDC-ETECH-XCool,M3-PROD-EREG-EDC-ETECH-XCool
M3-PROD-EREG-EDC-ETECH-XIO Compute,M3-PROD-EREG-EDC-ETECH-XIO Compute
M3-PROD-EREG-EDC-ETECH-XIO Storage,M3-PROD-EREG-EDC-ETECH-XIO Storage
M3-PROD-EREG-EDC-NTECH-COMPUTE,M3-PROD-EREG-EDC-NTECH-COMPUTE
M3-PROD-EREG-EDC-NTECH-HPC,M3-PROD-EREG-EDC-NTECH-HPC
M3-PROD-EREG-EDC-NTECH-SQL,M3-PROD-EREG-EDC-NTECH-SQL
M3-PROD-EREG-EDC-NTECH-Storage,M3-PROD-EREG-EDC-NTECH-Storage
M3-PROD-EREG-EDC-NTECH-XCool,M3-PROD-EREG-EDC-NTECH-XCool
M3-PROD-EREG-EDC-NTECH-XIO Compute,M3-PROD-EREG-EDC-NTECH-XIO Compute
M3-PROD-EREG-EDC-NTECH-XIO Storage,M3-PROD-EREG-EDC-NTECH-XIO Storage
M3-PROD-EREG-NDC-ETECH-COMPUTE,M3-PROD-EREG-NDC-ETECH-COMPUTE
M3-PROD-EREG-NDC-ETECH-HPC,M3-PROD-EREG-NDC-ETECH-HPC
M3-PROD-EREG-NDC-ETECH-SQL,M3-PROD-EREG-NDC-ETECH-SQL
M3-PROD-EREG-NDC-ETECH-Storage,M3-PROD-EREG-NDC-ETECH-Storage
M3-PROD-EREG-NDC-ETECH-XCool,M3-PROD-EREG-NDC-ETECH-XCool
M3-PROD-EREG-NDC-ETECH-XIO Compute,M3-PROD-EREG-NDC-ETECH-XIO Compute
M3-PROD-EREG-NDC-ETECH-XIO Storage,M3-PROD-EREG-NDC-ETECH-XIO Storage
M3-PROD-EREG-NDC-NTECH-COMPUTE,M3-PROD-EREG-NDC-NTECH-COMPUTE
M3-PROD-EREG-NDC-NTECH-HPC,M3-PROD-EREG-NDC-NTECH-HPC
M3-PROD-EREG-NDC-NTECH-SQL,M3-PROD-EREG-NDC-NTECH-SQL
M3-PROD-EREG-NDC-NTECH-Storage,M3-PROD-EREG-NDC-NTECH-Storage
M3-PROD-EREG-NDC-NTECH-XCool,M3-PROD-EREG-NDC-NTECH-XCool
M3-PROD-EREG-NDC-NTECH-XIO Compute,M3-PROD-EREG-NDC-NTECH-XIO Compute
M3-PROD-EREG-NDC-NTECH-XIO Storage,M3-PROD-EREG-NDC-NTECH-XIO Storage
M3-PROD-NREG-NDC-ETECH-COMPUTE,M3-PROD-NREG-NDC-ETECH-COMPUTE
M3-PROD-NREG-NDC-ETECH-HPC,M3-PROD-NREG-NDC-ETECH-HPC
M3-PROD-NREG-NDC-ETECH-SQL,M3-PROD-NREG-NDC-ETECH-SQL
M3-PROD-NREG-NDC-ETECH-Storage,M3-PROD-NREG-NDC-ETECH-Storage
M3-PROD-NREG-NDC-ETECH-XCool,M3-PROD-NREG-NDC-ETECH-XCool
M3-PROD-NREG-NDC-ETECH-XIO Compute,M3-PROD-NREG-NDC-ETECH-XIO Compute
M3-PROD-NREG-NDC-ETECH-XIO Storage,M3-PROD-NREG-NDC-ETECH-XIO Storage
M3-PROD-NREG-NDC-NTECH-COMPUTE,M3-PROD-NREG-NDC-NTECH-COMPUTE
M3-PROD-NREG-NDC-NTECH-HPC,M3-PROD-NREG-NDC-NTECH-HPC
M3-PROD-NREG-NDC-NTECH-SQL,M3-PROD-NREG-NDC-NTECH-SQL
M3-PROD-NREG-NDC-NTECH-Storage,M3-PROD-NREG-NDC-NTECH-Storage
M3-PROD-NREG-NDC-NTECH-XCool,M3-PROD-NREG-NDC-NTECH-XCool
M3-PROD-NREG-NDC-NTECH-XIO Compute,M3-PROD-NREG-NDC-NTECH-XIO Compute
M3-PROD-NREG-NDC-NTECH-XIO Storage,M3-PROD-NREG-NDC-NTECH-XIO Storage
M3-REST-EREG-EDC-ETECH-COMPUTE,M3-REST-EREG-EDC-ETECH-COMPUTE
M3-REST-EREG-EDC-ETECH-SQL,M3-REST-EREG-EDC-ETECH-SQL
M3-REST-EREG-EDC-ETECH-Storage,M3-REST-EREG-EDC-ETECH-Storage
M3-REST-EREG-EDC-ETECH-XCool,M3-REST-EREG-EDC-ETECH-XCool
M3-REST-EREG-EDC-ETECH-XIO Compute,M3-REST-EREG-EDC-ETECH-XIO Compute
M3-REST-EREG-EDC-ETECH-XIO Storage,M3-REST-EREG-EDC-ETECH-XIO Storage
M3-REST-EREG-EDC-NTECH-COMPUTE,M3-REST-EREG-EDC-NTECH-COMPUTE
M3-REST-EREG-EDC-NTECH-SQL,M3-REST-EREG-EDC-NTECH-SQL
M3-REST-EREG-EDC-NTECH-Storage,M3-REST-EREG-EDC-NTECH-Storage
M3-REST-EREG-EDC-NTECH-XCool,M3-REST-EREG-EDC-NTECH-XCool
M3-REST-EREG-EDC-NTECH-XIO Compute,M3-REST-EREG-EDC-NTECH-XIO Compute
M3-REST-EREG-EDC-NTECH-XIO Storage,M3-REST-EREG-EDC-NTECH-XIO Storage
M3-REST-EREG-NDC-ETECH-COMPUTE,M3-REST-EREG-NDC-ETECH-COMPUTE
